Ferramenta;Tipo_Ataque;Inicio_Ataque;Detectado_em;API_BLOCKING_START;Sync_Apply_pfSense;Primeira_Falha;Inicio_Deteccao;Deteccao_Bloqueio;Inicio_Falha;Processamento_API
Zeek;HTTP Flood;15:23:29.790;15:23:31.000;15:23:33.126;15:23:33.748;15:23:35.000;1.210;2.748;5.210;0.622
Zeek;ICMP Flood;16:05:21.259;16:05:25.000;16:05:25.240;16:05:25.252;16:05:27.000;3.741;0.252;5.741;0.012
Zeek;DNS Tunneling;12:38:35.239;12:38:37.000;12:38:38.834;12:38:39.262;12:38:41.000;1.761;2.262;5.761;0.428
Zeek;SSH Brute Force;13:11:05.738;13:11:10.000;13:11:11.603;13:11:11.971;13:11:14.000;4.262;1.971;8.262;0.368
Zeek;SQL Injection;13:24:32.238;13:24:38.000;13:24:47.378;13:24:47.765;13:24:49.000;5.762;9.765;16.762;0.387
Suricata;HTTP Flood;17:46:48.808;17:46:48.916;17:46:49.012;17:46:49.379;17:46:50.000;0.108;0.463;1.192;0.367
Suricata;SSH Brute Force;18:03:06.872;18:03:07.218;18:03:07.344;18:03:07.749;18:03:09.000;0.346;0.531;2.128;0.405
Suricata;ICMP Flood;18:11:46.518;18:11:46.897;18:11:47.054;18:11:47.391;18:11:47.000;0.379;0.494;0.482;0.337
Suricata;DNS Tunneling;18:30:56.363;18:30:57.878;18:30:57.945;18:30:58.326;18:31:00.000;1.515;0.448;3.637;0.381
Suricata;SQL Injection;18:38:02.778;18:38:04.041;18:38:04.348;18:38:04.709;18:38:06.000;1.263;0.668;3.222;0.361
Snort;HTTP Flood;19:30:55.558;19:30:56.770;19:30:58.979;19:30:59.363;19:30:58.000;1.212;2.593;2.442;0.384
Snort;ICMP Flood;15:15:53.521;15:15:54.007;15:15:55.244;15:15:55.632;15:15:56.000;0.486;1.625;2.479;0.388
Snort;SSH Brute Force;15:56:55.348;15:56:55.442;15:56:55.749;15:56:56.125;15:56:59.000;0.094;0.683;3.652;0.376
Snort;DNS Tunneling;16:16:46.929;16:16:47.482;16:16:48.130;16:16:49.534;16:16:50.000;0.553;2.052;3.071;1.404
Snort;SQL Injection;16:27:17.597;16:27:23.457;16:27:23.744;16:27:24.034;16:27:32.000;5.860;0.577;14.403;0.290
